2016/5/13,86.6531,88.261,86.6531,87.1538,44392765
2016/5/16,88.9543,90.8799,88.2418,90.3889,61259756
2016/5/17,91.0339,91.1784,89.5512,90.0134,46916939
2016/5/18,90.6584,91.6694,90.3985,91.0436,42062391
2016/5/19,91.1206,91.1206,90.0904,90.697,30442100
2016/5/20,91.1206,91.8812,91.0051,91.679,32025968
2016/5/23,92.3049,93.5758,92.1123,92.844,38018643
2016/5/24,93.6047,94.4423,93.2388,94.2594,35140174
2016/5/25,95.0007,96.0309,94.4616,95.9154,38642108
2016/5/26,95.9732,96.9841,94.9718,96.676,56331159
2016/5/27,95.7421,96.7338,95.5543,96.6183,36341240
2016/5/31,95.8961,96.6664,95.1452,96.1465,42307212
2016/6/1,95.3377,95.8384,94.6734,94.7985,29173285
2016/6/2,93.9705,94.2016,93.0366,94.0861,40191600
2016/6/3,94.1535,94.6156,93.8261,94.2786,28504888
2016/6/6,94.346,98.101,93.9224,94.9622,23292504
2016/6/7,95.5592,96.1561,95.2799,95.3473,22409450
2016/6/8,95.3377,95.8576,95.0104,95.2607,20848131
2016/6/9,94.8371,96.2716,94.7985,95.9443,26601354
2016/6/10,94.8659,95.6513,94.8178,95.1548,31712936
2016/6/13,95.02,95.434,93.4891,93.7202,38020494
2016/6/14,93.7009,94.813,93.1521,93.8357,31931944
2016/6/15,94.1823,94.7504,93.4217,93.5276,29445227
2016/6/16,92.8633,94.1149,92.4974,93.9224,31326815
2016/6/17,93.027,93.0559,91.7561,91.7849,61008219
2016/6/20,92.43,92.9788,91.4961,91.5635,34411901
2016/6/21,91.4094,92.767,91.1553,92.3434,35546358
2016/6/22,92.6707,93.2869,91.8042,91.9968,29219122
2016/6/23,92.3723,92.7092,91.7079,92.5263,32240187
2016/6/24,89.4549,91.135,89.2046,89.9267,75311356
2016/6/27,89.5416,89.5897,88.0974,88.6173,46622188
2016/6/28,89.4453,90.177,88.7136,90.1096,40444914
2016/6/29,90.4755,91.0339,90.1482,90.8895,36531006
2016/6/30,90.928,92.2086,90.7932,92.0449,35836356
2016/7/1,91.939,92.8777,91.7849,92.3241,26026540
